season,round,pick_number,player_name,position,fantasy_ppg_that_season
2020-21,1,4,Nikola Jokic,C,0.0
2020-21,2,9,Donovan Mitchell,SG,0.0
2020-21,3,4,Ja Morant,PG,0.0
2020-21,4,9,D'Angelo Russell,PG,0.0
2020-21,5,4,John Wall,PG,0.0
2020-21,6,9,Julius Randle,PF,0.0
2020-21,7,4,Caris LeVert,SG,0.0
2020-21,8,9,Blake Griffin,PF,0.0
2020-21,9,4,Duncan Robinson,SF,0.0
2020-21,10,9,Aron Baynes,C,0.0
2020-21,11,4,Tim Hardaway Jr.,SG,0.0
2020-21,12,9,Tyrese Haliburton,PG,0.0
2020-21,13,4,Jonathan Isaac,PF,0.0
2021-22,1,1,Nikola Jokic,C,0.0
2021-22,2,12,Jimmy Butler,SF,0.0
2021-22,3,1,Shai Gilgeous-Alexander,PG,0.0
2021-22,4,12,Deandre Ayton,C,0.0
2021-22,5,1,Pascal Siakam,PF,0.0
2021-22,6,12,Richaun Holmes,C,0.0
2021-22,7,1,Kemba Walker,PG,0.0
2021-22,8,12,Marcus Smart,SG,0.0
2021-22,9,1,Gordon Hayward,SF,0.0
2021-22,10,12,Al Horford,C,0.0
2021-22,11,1,Malik Beasley,SG,0.0
2021-22,12,12,De'Andre Hunter,SF,0.0
2021-22,13,1,Larry Nance Jr.,PF,0.0
2022-23,1,8,LaMelo Ball,PG,0.0
2022-23,2,5,Devin Booker,SG,0.0
2022-23,3,8,Dejounte Murray,SG,0.0
2022-23,4,5,Nikola Vucevic,C,0.0
2022-23,5,8,Khris Middleton,SF,0.0
2022-23,6,5,Tyler Herro,SG,0.0
2022-23,7,8,OG Anunoby,SF,0.0
2022-23,8,5,Keegan Murray,PF,0.0
2022-23,9,8,Marcus Smart,SG,0.0
2022-23,10,5,Caris LeVert,SG,0.0
2022-23,11,8,James Wiseman,C,0.0
2022-23,12,5,Kelly Olynyk,C,0.0
2022-23,13,8,Seth Curry,SG,0.0
2023-24,1,5,Shai Gilgeous-Alexander,PG,0.0
2023-24,2,8,De'Aaron Fox,PG,0.0
2023-24,3,5,Mikal Bridges,SF,0.0
2023-24,4,8,Bradley Beal,SF,0.0
2023-24,5,5,Alperen Sengun,C,0.0
2023-24,6,8,Tyler Herro,SG,0.0
2023-24,7,5,Devin Vassell,SG,0.0
2023-24,8,8,John Collins,PF,0.0
2023-24,9,5,Collin Sexton,SG,0.0
2023-24,10,8,Bennedict Mathurin,SF,0.0
2023-24,11,5,Dennis Schroder,PG,0.0
2023-24,12,8,Kyle Lowry,PG,0.0
2023-24,13,5,Steven Adams,C,0.0
2024-25,1,12,Scottie Barnes,SF,0.0
2024-25,2,1,Ja Morant,PG,0.0
2024-25,3,12,Jalen Williams,PF,0.0
2024-25,4,1,Dejounte Murray,SG,0.0
2024-25,5,12,Darius Garland,PG,0.0
2024-25,6,1,Josh Giddey,SG,0.0
2024-25,7,12,Deandre Ayton,C,0.0
2024-25,8,1,Brandin Podziemski,SG,0.0
2024-25,9,12,Jabari Smith Jr.,PF,0.0
2024-25,10,1,Alex Sarr,C,0.0
2024-25,11,12,Marcus Smart,SG,0.0
2024-25,12,1,Gradey Dick,SG,0.0
2024-25,13,12,Stephon Castle,PG,0.0
2025-26,1,9,Trae Young,PG,0.0
2025-26,2,4,Jalen Brunson,PG,0.0
2025-26,3,9,Zion Williamson,PF,0.0
2025-26,4,4,Josh Giddey,SG,0.0
2025-26,5,9,Julius Randle,PF,0.0
2025-26,6,4,Michael Porter Jr.,SF,0.0
2025-26,7,9,Payton Pritchard,PG,0.0
2025-26,8,4,Donovan Clingan,C,0.0
2025-26,9,9,Devin Vassell,SG,0.0
2025-26,10,4,Jrue Holiday,PG,0.0
2025-26,11,9,Aaron Nesmith,SF,0.0
2025-26,12,4,Isaiah Collier,PG,0.0
2025-26,13,9,Daniel Gafford,C,0.0
